Relation1,Relation2,Product
"OI","PS","-"
"OI","PSI","BI"
"OI","RB","RB R~"
"OI","RBI","RBI"
"OI","RO","RBI RO ROI RS"
"OI","ROI","RBI ROI"
"OI","RS","RBI ROI"
"OI","R~","R~"
"OI","S","D F OI ROI"
"OI","SI","BI MI OI"
"PE","B","B"
"PE","BI","BI"
"PE","D","D"
"PE","DI","-"
"PE","E","-"
"PE","F","-"
"PE","FI","-"
"PE","M","-"
"PE","MI","-"
"PE","O","-"
"PE","OI","-"
"PE","PE","PE"
"PE","PF","PF"
"PE","PFI","-"
"PE","PS","PS"
"PE","PSI","-"
"PE","RB","-"
"PE","RBI","RBI"
"PE","RO","-"
"PE","ROI","-"
"PE","RS","-"
"PE","R~","R~"
"PE","S","-"
"PE","SI","-"
"PF","B","B"
"PF","BI","BI"
"PF","D","D"
"PF","DI","BI"
"PF","E","PF"
"PF","F","PF"
"PF","FI","PF"
"PF","M","PS"
"PF","MI","BI"
"PF","O","D"
"PF","OI","BI"
"PF","PE","-"
"PF","PF","-"
"PF","PFI","PE"
"PF","PS","-"
"PF","PSI","BI"
"PF","RB","R~"
"PF","RBI","RBI"
"PF","RO","RBI"
"PF","ROI","RBI"
"PF","RS","RBI"
"PF","R~","R~"
"PF","S","D"
"PF","SI","BI"
"PFI","B","B"
"PFI","BI","BI DI MI OI PSI SI"
"PFI","D","D O S"
"PFI","DI","-"
"PFI","E","-"
"PFI","F","-"
"PFI","FI","-"
"PFI","M","-"
"PFI","MI","-"
"PFI","O","-"
"PFI","OI","-"
"PFI","PE","PFI"
"PFI","PF","E F FI"
"PFI","PFI","-"
"PFI","PS","M"
"PFI","PSI","-"
"PFI","RB","-"
"PFI","RBI","RBI RO ROI RS"
"PFI","RO","-"
"PFI","ROI","-"
"PFI","RS","-"
"PFI","R~","RB R~"
"PFI","S","-"
"PFI","SI","-"
"PS","B","B"
"PS","BI","BI"
"PS","D","D"
"PS","DI","B"
"PS","E","PS"
"PS","F","D"
"PS","FI","B"
"PS","M","B"
"PS","MI","PF"
"PS","O","B"
"PS","OI","D"
"PS","PE","-"
"PS","PF","-"
"PS","PFI","B"
"PS","PS","-"
"PS","PSI","PE"
"PS","RB","B"
"PS","RBI","RBI"
"PS","RO","B"
"PS","ROI","D"
"PS","RS","PS"
"PS","R~","R~"
"PS","S","PS"
"PS","SI","PS"
"PSI","B","B DI FI M O PFI RB RO"
"PSI","BI","BI"
"PSI","D","D F OI ROI"
"PSI","DI","-"
"PSI","E","-"
"PSI","F","-"
"PSI","FI","-"
"PSI","M","-"
"PSI","MI","-"
"PSI","O","-"
"PSI","OI","-"
"PSI","PE","PSI"
"PSI","PF","MI"
"PSI","PFI","-"
"PSI","PS","E RS S SI"
"PSI","PSI","-"
"PSI","RB","-"
"PSI","RBI","RBI"
"PSI","RO","-"
"PSI","ROI","-"
"PSI","RS","-"
"PSI","R~","R~"
"PSI","S","-"
"PSI","SI","-"
"RB","B","RB"
"RB","BI","BI DI MI OI PSI RB RO ROI RS SI"
"RB","D","RB RO ROI RS"
"RB","DI","RB"
"RB","E","RB"
"RB","F","RB RO ROI RS"
"RB","FI","RB"
"RB","M","RB"
"RB","MI","RB RO ROI RS"
"RB","O","RB"
"RB","OI","RB RO ROI RS"
"RB","PE","RB"
"RB","PF","RB RO ROI RS"
"RB","PFI","RB"
"RB","PS","RB"
"RB","PSI","RB"
"RB","RB","RB"
"RB","RBI","D DI E F FI O OI RB RBI RO ROI RS S SI"
"RB","RO","RB"
"RB","ROI","RB RO ROI RS"
"RB","RS","RB"
"RB","R~","B DI FI M O PFI RB RO R~"
"RB","S","RB"
"RB","SI","RB"
"RBI","B","R~"
"RBI","BI","BI"
"RBI","D","RBI"
"RBI","DI","BI RBI R~"
"RBI","E","RBI"
"RBI","F","RBI"
"RBI","FI","RBI R~"
"RBI","M","R~"
"RBI","MI","BI"
"RBI","O","RBI R~"
"RBI","OI","BI RBI"
"RBI","PE","-"
"RBI","PF","-"
"RBI","PFI","R~"
"RBI","PS","-"
"RBI","PSI","BI"
"RBI","RB","B BI D DI E F FI M MI O OI PE PF PFI PS PSI RB RBI RO ROI RS R~ S SI"
"RBI","RBI","RBI"
"RBI","RO","BI D F MI OI PF RBI ROI R~"
"RBI","ROI","BI D F MI OI PF RBI ROI"
"RBI","RS","BI D F MI OI PF RBI ROI"
"RBI","R~","R~"
"RBI","S","RBI"
"RBI","SI","BI RBI"
"RO","B","RB"
"RO","BI","BI DI MI OI PSI SI"
"RO","D","RO ROI RS"
"RO","DI","DI RB RO"
"RO","E","RO"
"RO","F","RO ROI RS"
"RO","FI","RB RO"
"RO","M","RB"
"RO","MI","DI OI SI"
"RO","O","RB RO"
"RO","OI","DI OI RO ROI RS SI"
"RO","PE","-"
"RO","PF","-"
"RO","PFI","RB"
"RO","PS","-"
"RO","PSI","DI"
"RO","RB","B DI FI M O PFI RB RO"
"RO","RBI","RBI RO ROI RS"
"RO","RO","DI FI O RB RO"
"RO","ROI","D DI E F FI O OI RO ROI RS S SI"
"RO","RS","DI FI O RO"
"RO","R~","RB R~"
"RO","S","RO"
"RO","SI","DI RO"
"ROI","B","RB"
"ROI","BI","BI"
"ROI","D","ROI"
"ROI","DI","BI DI MI OI PSI RB RO ROI RS SI"
"ROI","E","ROI"
"ROI","F","ROI"
"ROI","FI","RB RO ROI RS"
"ROI","M","RB"
"ROI","MI","BI"
"ROI","O","RB RO ROI RS"
"ROI","OI","BI MI OI ROI"
"ROI","PE","-"
"ROI","PF","-"
"ROI","PFI","RB"
"ROI","PS","-"
"ROI","PSI","BI"
"ROI","RB","B DI FI M O PFI RB RO R~"
"ROI","RBI","RBI"
"ROI","RO","D DI E F FI O OI RB RBI RO ROI RS S SI"
"ROI","ROI","D F OI RBI ROI"
"ROI","RS","D F OI RBI ROI"
"ROI","R~","R~"
"ROI","S","ROI"
"ROI","SI","BI MI OI ROI"
"RS","B","RB"
"RS","BI","BI"
"RS","D","ROI"
"RS","DI","DI RB RO"
"RS","E","RS"
"RS","F","ROI"
"RS","FI","RB RO"
"RS","M","RB"
"RS","MI","MI"
"RS","O","RB RO"
"RS","OI","OI ROI"
"RS","PE","-"
"RS","PF","-"
"RS","PFI","RB"
"RS","PS","-"
"RS","PSI","PSI"
"RS","RB","B DI FI M O PFI RB RO"
"RS","RBI","RBI"
"RS","RO","DI FI O RB RO"
"RS","ROI","D F OI ROI"
"RS","RS","E RS S SI"
"RS","R~","R~"
"RS","S","RS"
"RS","SI","RS SI"
"R~","B","R~"
"R~","BI","BI RBI R~"
"R~","D","RBI R~"
"R~","DI","R~"
"R~","E","R~"
"R~","F","RBI R~"
"R~","FI","R~"
"R~","M","R~"
"R~","MI","RBI R~"
"R~","O","R~"
"R~","OI","RBI R~"
"R~","PE","R~"
"R~","PF","RBI R~"
"R~","PFI","R~"
"R~","PS","R~"
"R~","PSI","R~"
"R~","RB","R~"
"R~","RBI","BI D F MI OI PF RBI ROI R~"
"R~","RO","R~"
"R~","ROI","RBI R~"
"R~","RS","R~"
"R~","R~","B BI D DI E F FI M MI O OI PE PF PFI PS PSI RB RBI RO ROI RS R~ S SI"
"R~","S","R~"
"R~","SI","R~"
"S","B","B"
"S","BI","BI"
"S","D","D"
"S","DI","B DI FI M O PFI"
"S","E","S"
"S","F","D"
"S","FI","B M O"
"S","M","B"
"S","MI","MI"
"S","O","B M O"
"S","OI","D F OI"
"S","PE","-"
"S","PF","-"
"S","PFI","B"
"S","PS","-"
"S","PSI","PSI"
"S","RB","B RB"
"S","RBI","RBI"
"S","RO","B M O RO"
"S","ROI","D ROI"
"S","RS","RS S"
"S","R~","R~"
"S","S","S"
"S","SI","E S SI"
"SI","B","B DI FI M O PFI RB RO"
"SI","BI","BI"
"SI","D","D F OI ROI"
"SI","DI","DI"
"SI","E","SI"
"SI","F","OI"
"SI","FI","DI"
"SI","M","DI FI O RO"
"SI","MI","MI"
"SI","O","DI FI O RO"
"SI","OI","OI"
"SI","PE","-"
"SI","PF","-"
"SI","PFI","DI"
"SI","PS","-"
"SI","PSI","PSI"
"SI","RB","RB"
"SI","RBI","RBI"
"SI","RO","RO"
"SI","ROI","ROI"
"SI","RS","RS"
"SI","R~","R~"
"SI","S","E RS S SI"
"SI","SI","SI"
