Relation1,Relation2,Product
"PSI","FI","-"
"PSI","M","-"
"PSI","MI","-"
"PSI","O","-"
"PSI","OI","-"
"PSI","PE","PSI"
"PSI","PF","MI"
"PSI","PFI","-"
"PSI","PS","E S SI"
"PSI","PSI","-"
"PSI","S","-"
"PSI","SI","-"
"S","B","B"
"S","BI","BI"
"S","D","D"
"S","DI","B DI FI M O PFI"
"S","E","S"
"S","F","D"
"S","FI","B M O"
"S","M","B"
"S","MI","MI"
"S","O","B M O"
"S","OI","D F OI"
"S","PE","-"
"S","PF","-"
"S","PFI","B"
"S","PS","-"
"S","PSI","PSI"
"S","S","S"
"S","SI","E S SI"
"SI","B","B DI FI M O PFI"
"SI","BI","BI"
"SI","D","D F OI"
"SI","DI","DI"
"SI","E","SI"
"SI","F","OI"
"SI","FI","DI"
"SI","M","DI FI O"
"SI","MI","MI"
"SI","O","DI FI O"
"SI","OI","OI"
"SI","PE","-"
"SI","PF","-"
"SI","PFI","DI"
"SI","PS","-"
"SI","PSI","PSI"
"SI","S","E S SI"
"SI","SI","SI"
