RELATION,ABBREVIATION,CONVERSE,DOMAIN,RANGE,REFLEXIVE,SYMMETRIC,TRANSITIVE
LessThan,<,>,Point,Point,False,False,True
Equals,=,=,Point,Point,True,True,True
GreaterThan,>,<,Point,Point,False,False,True
Incomparable,r~,r~,Point,Point,False,True,False
