Relation1,Relation2,Product
"<","<","<"
"<","=","<"
"<",">","< = >"
"<","r~","< r~"
"=","<","<"
"=","=","="
"=",">",">"
"=","r~","r~"
">","<","< = > r~"
">","=",">"
">",">",">"
">","r~","r~"
"r~","<","r~"
"r~","=","r~"
"r~",">","> r~"
"r~","r~","< = > r~"
