RELATION,ABBREVIATION,CONVERSE,DOMAIN,RANGE,REFLEXIVE,SYMMETRIC,TRANSITIVE
Left-Incomparable,L~,L~,Interval,Interval,False,True,False
Left-Before,LB,LBI,Interval,ProperInterval,False,False,True
Left-After,LBI,LB,ProperInterval,Interval,False,False,True
Left-Overlaps,LO,LOI,ProperInterval,ProperInterval,False,False,False
Left-Overlapped-By,LOI,LO,ProperInterval,ProperInterval,False,False,False
Left-Finishes,LF,LF,ProperInterval,ProperInterval,False,False,False
